index,body
0,[]
1,"['روز', 'اکانت', 'قفل', 'پشتیبان', 'تماس', 'گرفت#گیر', 'گفت#گو', 'خود', 'بری', 'سایت', 'مایکروسافت', 'قفل', 'کرد#کن', 'کار', 'اکانت', 'بن', 'کنسول', 'زیاده', 'اکانت', '۲۵', 'رقم', 'ارجینال', 'خرید#خر', 'ظرفیت', 'مبلغ', 'ش', 'زیاده', 'بن', 'صفره']"
2,"['قیمت', 'داره', 'وبصرفه', '#هست', 'پشتیبانیشون', 'یکم', 'دیر', 'جواب', 'میده']"
3,"['۲۴', 'ساعت', 'خرید', 'گذشت#گذر', 'بند', 'داشت#دار', 'پا', 'میاد']"
4,"['کالا', 'Nokia', 'g', '۲۰', '،', 'گوشی\u200cهای', 'Samsung', 'a', '۷۰', 'Samsung', 'a', '۴۲', 'هستش', '،', 'ابعاد', 'گلس', 'ابعاد', 'گوش', 'Nokia', 'g', '۲۰', 'نمیخوره', '،', 'اسم', 'کالا', 'نگاه', 'کرد#کن', '،', 'کالا', 'سامسونگ', 'هستش']"
5,"['عرض', 'لیبل', 'کوچیک\u200cتر', 'صفحه', 'گوش', '#هست', '.', 's', '۲۰', '+']"
6,"['جلو', 'خط', 'خش', 'میگیره', 'جنس', 'ژله', '#هست', 'ازمن', 'زود', 'سوراخ', 'کلید', 'گیر', 'داخل', 'جیب']"
7,"['قیمت', 'خوبه']"
8,"['بسته', 'موقع', 'دستم', 'بسته', '.']"
9,"['چسب', 'ضعیف', 'میاد', 'عمر', 'میکنه', 'مرور', 'حباب', 'می\u200cافته', 'گوشه', 'هاش', 'بلند', 'میشن', '.', 'خیل', 'ماته', 'بستگی', 'سلیقتون', 'داره', 'ضخامت', 'میاد', 'مقاومت', 'مقابل', 'ضربه', 'میشه', '.']"
10,"['قطر', 'کمه', 'چسب', 'کلا', '۱', '۲', 'ماه', 'کار', 'نمیکنه']"
11,"['نظر', 'گوشه', 'هاش', 'نمیچسبه']"
12,"['خوبع', 'می\u200cارزه']"
13,"['قیمت', '۲۵', 'تومن', 'خرید#خر', '،', 'بد', 'بلد', 'بود#باش', 'نصب', 'آب', 'نیومد']"
14,"['تازه', 'گرفت#گیر', 'الان', 'بد', 'بود#باش']"
15,"['چسب', 'قوی', 'اون', '۲۰', 'تومنیاست', 'قیمت', '۳۰', 'ارزش', 'داره']"
16,"['شخصه', 'اون', 'حاشیه', 'مشک', 'دوست', 'داشت#دار', 'براش', 'فرق', 'نمیکنه', 'گلس', 'کیفیت', 'داره', 'نظر', 'قیمت', 'میشه', 'کلس', 'بهتر']"
17,"['اصلا', 'یه', 'نایلون', 'گرفتن', 'میگن', 'محافظ']"
18,"['قیمت', 'جنس']"
19,"['برچب', 'خوبیه', 'جنس', 'ژله', 'داره', 'حتما', 'بلد', 'بود#باش', 'جور', 'نصب', 'گوش', 'دقت', 'خرج']"
20,"['درکل', 'بد']"
21,"['کیفیت', 'بودش']"
22,"['کیفیت', 'متوسط', 'قبولی']"
23,"['سلام', 'چسب', 'داشت#دار']"
24,"['درکل', 'بد']"
25,"['کیفیت', 'بودش']"
26,"['کیفیت', 'متوسط', 'قبولی']"
27,"['سلام', 'چسب', 'داشت#دار']"
28,"['خوبه', 'ارزش', 'خرید', 'داره']"
29,"['راحت', 'چسبید']"
30,"['خواهش', '.', 'ارزان', 'موجود']"
31,"['لطفا', 'موجود', '.', 'وقته', 'منتظر', 'گرفت#گیر']"
32,"['موجود', 'میخوام', 'خرید#خر']"
33,['معمولی']
34,"['عنوان', 'لیبل', 'مانیتور', 'ماشین', 'خرید#خر', '.', 'بسته', 'بند', '.', 'یکم', 'گرونه']"
35,"['کاور', 'باکیفیت', '#هست', 'قلم', 'نداره', '.', 'قلم', 'میچسبه', 'شارژ', 'نمیشه']"
36,"['قیمت', 'جنس', 'موارد', 'داخل', 'نقاط', 'ضغف', 'گفت#گو', 'یکم', 'بالاس', 'مرغوب', 'باکیفیت', 'نیس', 'کاور\u200cهای', 'اسمارت', 'دیگه', 'حالت', 'استند', 'داره', 'صفحش', 'میتونین', 'بسته', 'sleep/wake', 'کنین']"
37,"['مشکل', 'استفاده', 'از', 'داشت#دار']"
38,"['برا', 'فروش', 'مغازه', 'گرفت#گیر', 'مشتری', 'هایم', 'راضی', 'هستن']"
39,"['قیمت', 'نسبتا', 'اعتبار', 'واریز', 'اپل', 'ای', 'دی']"
40,"['خرید', 'کارت', 'دیجیکالا', 'تجربه', 'پیشنهاد', 'میکنم', 'دیجیکالا', 'خرید#خر', 'مطمئنه', '.']"
41,"['چی', 'بگم', '.', 'کاشت#کار', 'افتاد#افت']"
42,"['از', 'انتظار', 'یه', 'کیف', 'داشت#دار', '،', 'یه', 'کیف', 'دوش', 'داشت#دار', '،', 'دنباله', 'یه', 'کاور', 'چرم', 'نازک', 'بود#باش', 'تبلت', 'زمان', 'گذاشتن', 'کیف', 'آسیب', 'نبینه', '.', 'توجه', 'نیاز', 'مناسبه', '،', 'عنوان', 'پیشنهاد', '!', 'نمیدونم', '،', 'سلیقه', '#هست', '.', '!!!!!']"
43,"['باکیفیته', 'یکم', 'سنگینه']"
44,"['چندین', 'خاموش', 'روشن', 'تنظیمات', 'قطع', 'وصل', 'وصل', 'نمیشه', 'اصل']"
45,"['طراح', 'ساخت', 'برخورداره', 'ذوق', 'نمیزنه', 'قیمت', 'بهتر', 'بازار', 'پیدانکردم', 'گرچه', 'گران', 'بنظر', 'میرسه']"
