index,body
0,"['قدرت', 'باتری', 'باتری', 'اصل', 'نیس', 'خوبه']"
1,"['حتما', 'پیشنهاد', 'میکنم']"
2,[]
3,"['حتما', 'خرید#خر', 'عالیه']"
4,"['فروش', 'قیمت', 'گرفت#گیر']"
5,"['قابلیت', 'خوب', '۹h']"
6,"['پیشنهاد', 'میکنم']"
7,"['باسلام', 'دوتاسفارش', 'داد#ده', 'ویکیش', 'رودوهفته', 'میشه', 'ده', 'هزارتومن', 'داد#ده', 'گوش', 'انداختن', '،', 'نمونش', 'سال', 'یه', 'گوش', 'اینجودیگه', 'انداخت#انداز', 'تاحالاخوب', 'جواب', '،', 'یکم', 'قاب', 'گوش', 'ازگوشی', 'فاصله', 'انداخته', 'أرزشش', 'روداره', '،', 'گوش', 'ون', 'اینچ', 'اینجو', '،', 'مدل', 'فایر۳', 'إلتی']"
8,"['توانست#توان', 'بازی', 'دانلود', 'ارزان', 'پشیمان', 'شد#شو']"
9,"['مشتریش', 'شد#شو']"
10,"['فروشگاه', 'قیمت']"
11,"['واقعا', 'فروشگاه', 'قیمت']"
12,['خوبه']
13,"['راضی', '#هست']"
14,"['وبا', 'کیفیت']"
15,['محکم']
16,"['خوبه', 'دوتا', 'گرفت#گیر', 'واقعن', 'خوبه']"
17,"['چسب', '،', 'برش', 'دایره', 'دوربی', 'داره', '،', 'سایز']"
18,"['درکل', 'نسیت', 'قیمت', 'خوبه']"
19,['قیمت']
20,['سلام']
21,"['خریدشو', 'توصیه', 'میکنم']"
22,"['جنس', 'داره', '.', 'مزیت', 'مات', 'نور', 'منعکس', 'نمیکند', 'دیر', 'کثیف', 'میشود', '.', 'پیشنهاد', 'میکنم', 'بلد', '#هست', 'نصب', 'بدید', 'براتون', 'نصب', 'کنن', '.', 'نتونستم', 'نصب', 'خراب', '.', 'قیمت', 'خرید#خر', 'داد#ده', 'فروشنده', 'برام', 'نصب', 'کنه', '.', 'موقع', 'نصب', 'محافظ', 'حباب', 'گرد', 'خاک', 'محافظ', 'بردارید', 'تیکه', 'نوار', 'چسب', 'گردوخاک', 'پاک', '.', 'نوار', 'چسب', 'صفحه', 'بچسانید', 'فشار', 'داد#ده', 'پرز', 'بچسباند', '.']"
23,['مقاومه']
24,"['توصیه', 'میکنم']"
25,"['خوبه', 'جنس', 'سایز']"
26,"['نصب', 'آسون']"
27,[]
28,"['بسته', 'یکم', 'a', '۵۰', 'کوچیکه', 'توصیه', 'میکنم', 'اگه', 'قصد', 'خرید', 'داشت#دار']"
29,"['جنس', 'نصب', 'راحت']"
30,"['خوبه', 'نصب', 'راحت', 'داره', 'پد', 'همراه', 'تخفیف', 'عالیه', 'خرید']"
31,[]
32,"['ارزش', 'خرید', 'داره', 'توجه', 'قیمت', 'کیفیت']"
33,['زیبا']
34,"['قیمت', 'خوبه']"
35,"['حتما', 'بدید', 'براتون', 'نصب', 'کنن']"
36,"['دوست', 'عزیز', 'اونی', 'شکسته', 'مهم', 'کلا', 'جدا', 'میشه', 'استفاده', 'کالا', 'اندازه', 'اندازه', 'برعکس', 'گلس\u200cهای', '(', 'حاشیه', 'مشک', ')', 'صفحه', 'میپوشونه', 'مدلی', 'فابریک', 'صفحه', 'a', '۷۱', '#هست', 'دوربین', 'سلف', 'نمیگیره', 'داره', 'براش', 'نصب', 'راحته', 'خودم', 'نصب', 'حباب', 'میره', '۴۸', 'ساعت', 'قابلیت', 'ترمیم', 'داره', 'خط', 'خش', 'اثرانگشت', 'جذب', 'میشه', 'وجه', 'کثیف', 'نمیشه', 'مگر', 'انگشتتون', 'کرد#کن', 'تو', 'ظرف', 'روغن', 'زد#زن', 'صفحه', 'اینصورت', 'دیر', 'کثیف', 'میشه', 'مدلش', 'شیشه', 'یکم', 'ماته', '(', ')']"
37,"['دیگه', 'قیمت', 'پفک', 'چیپس']"
38,['#هست']
39,"['مفید', 'تخفیف']"
40,"['خرید#خر', 'تخفیف', 'راضی', 'ام']"
41,"['تخفیف', 'خریدار', '،', 'تخفیف', 'ارزش', 'جنس', '،', 'تخفیف', 'نمیخریدم', '،', 'شارژر', 'بزرگ', 'داشت#دار', 'خورده', 'حساب', 'کرد#کن', 'خییلی', 'فضا', 'بزرگ', 'نداره', 'شارژرای', 'کوچیک', 'میتونید', 'از', 'استفاده', 'کرد#کن', '.']"
42,"['گوش', 'واقعا', 'لازمه', 'بخرین']"
43,"['راضی', 'بود#باش', 'بدک']"
44,"['واقعا', 'گلس', 'خوبیه', 'حریم', 'عالیه', 'داخل', 'پک', 'لوازم', 'نصب']"
45,"['عالیه', 'خرید#خر']"
46,['خوبه']
