index,body
0,"['گیفت', 'کارت', 'تقلب', 'اصل', 'بدونه', 'پشت', 'بانی']"
1,"['رنگ', 'مشک', 'سفارش', 'داد#ده', 'رنگ', 'فرستادن', 'سفید', '.']"
2,"['قدرت', 'ایستادگی', 'ضعیف', '.']"
3,"['اندازه', 'هزار', 'تومن', 'میشه', 'استفاده', '.', 'پایه', 'شل', 'وارفته']"
4,"['اونجایی', 'میدونم', 'هزینه', 'میدی', '،', 'کالا', 'صورت', 'دریافت', '.', 'نصفه', 'ناقص', 'احترام', '.', 'اصطلاحات', '(', 'بعدا', 'براتون', 'میفرستم', ')', '(', 'هفته', 'دیگه', ')', '(', 'فعلا', 'موجود', 'داشت#دار', ')', 'اصلا', 'قبول', '.', 'خریدتون', '،', 'اکوان', 'گیفت', 'را', 'گیم', 'شدیدا', 'دقت', '.']"
5,"['پشتیبان', 'ضعیفه']"
6,"['نیازه', 'گوش', 'نمیپوشونه', 'دوربینو']"
7,"['برخلاف', 'قیمت', 'تخفیف']"
8,"['کیفیت', 'عالیه', '.', 'خرید#خر']"
9,[]
10,"['تو', 'اف', 'خرید#خر', 'محکم', 'حرفه\u200cای']"
11,"['محافظ', 'لنز']"
12,"['محافظ', 'نمیکردم', 'انقد', 'ضخامت', 'باشه']"
13,"['سایز', 'کوچیکتر', 'صفحه', 'نمایشه', 'نتونستم', 'تستفاده']"
14,"['اصلا', 'عنوان', 'محافظ', 'صفحه', 'ننیشه', 'حساب']"
15,['باکیفیت']
16,"['اندازه', 'ضخامت', 'فاصله', 'میندازه', 'گوش', 'زمین', 'میزارین', 'لنز', 'خط', 'نیوفته', 'اگه', 'کاورتون', 'ضخیم', 'باشه', 'دیگه', 'نیاز']"
17,"['انگار', 'سال', 'استفاده', '.', 'نخ', 'کش', 'مستعمل']"
18,"['کالا', 'فیک', 'فرستادن', 'برام', '.', 'دستم', 'ذوق', 'خورد#خور', '.', 'عکسه', 'تحویل', 'گرفت#گیر', 'زمین', 'آسمون', 'فرق', '.', 'فرستاد#فرست', '.']"
19,"['خرید#خر', 'اشغاله']"
20,"['مدل', 'F۳']"
21,"['راضیم', 'از', 'ممنون', 'دیجی', 'کالا']"
22,"['می\u200cتونه', 'ارتقا', 'بشه']"
23,"['۹۵۰۰۰', 'گرفت#گیر', '۵۰۰۰', 'نمی\u200cارزه', '.', 'اصلا', 'گرفت#گیر', '.', 'کیسه', 'فریزر', 'کشید#کش', 'گوش', 'بهتره', '.', 'متاسفم', 'دیجی', 'کالا', 'کی', 'جنس', 'خراب', 'قیمت', 'تو', 'میفروشه']"
24,[]
25,"['بد', 'خیلی', 'بد', 'سایز', 'درست', '.']"
26,"['ریختن', 'پول', 'سطل', 'زباله', '#هست', '.', 'کیفیت', 'پلاستیک', '.', 'متاسفم', 'سر', 'گردنه']"
27,"['درد', 'نمیخوره', 'اندازه', 'فیت']"
28,"['محافظ', 'صفحه', 'صفحه', 'محافظت', 'میکنه', '.']"
29,"['خوبه', 'داد#ده', '،', 'جنس', 'tpu', 'معمولی', '#هست', 'مخافظ', 'میکنه', 'خط', 'خش', 'ساخت', 'دقت', 'نشده\u200c', 'سوراخ', 'حفره', 'دوربین', 'وسط']"
30,"['پول', 'ریختن', 'خرید#خر']"
31,"['نایلون', 'نازک', '،', 'العاده', 'کیفیت']"
32,"['کیفیت', 'گوش', 'میاره', 'پایین', 'ماته']"
33,"['کیفیت', 'چسب', 'نامناسب', 'اندازه', 'ارزش', 'خرید']"
34,"['اگه', 'دنبال', 'یه', 'کیفیت', '#هست', 'برا', 'یه', 'دیگه', 'سفارش', 'بدید', 'ضعیف', 'کیفیت']"
35,"['کیفیت', 'پایین', 'داره', '،', 'پشیمون', 'میشید', 'محبور', 'خرید']"
36,"['کوچیک\u200cتر', 'صفحه', 'گوش', 'چسب', 'نچسبید']"
37,"['هیچ', 'بهتره']"
38,['قیمت']
39,"['گوش', 'پوکو']"
40,"['خرید#خر', 'پیشنهاد', 'میکنم', 'بخرین']"
41,['مرسی']
42,"['کوچیکه', 'گوش', 'poco', 'm۳', 'pro', '،']"
43,"['ک', 'فرستاد#فرست', 'کیف', 'گوش', 'ام\u200cتری', 'پور']"
44,"['واقعا', 'بد', '…', 'محافظ', 'پایین', 'سانت', 'اضافه']"
45,['عالیییییی']
46,"['جنس', 'معمولی', '.']"
47,[]
48,"['عااااالیه', 'خرید#خر', 'راضیم']"
49,"['قیمت', 'کمتر', 'گوش', 'دیگه', 'خرید#خر', 'گلس', 'داخل', 'قیمت', 'بالا', 'هم', 'دونه', 'افتضاحه']"
50,"['کوچیکه\u200cتر', 'محلیه', 'نصب', 'بشه', 'تخفیف', 'گرفت#گیر', 'باخت#باز', 'گرون', 'گرون\u200cتر', 'محافظ', 'صفحه']"
51,['راضی']
52,"['توصیه', 'نمیکنم', 'مجبور', 'خرید#خر', 'بازار', 'نازکه', 'زود', 'میشکنه', 'هیچ', 'بهتره']"
53,"['شکسته', 'بدستم', 'مرجوع', 'گلس', 'جعبه', 'همخونی', 'داشت#دار', 'یه', 'برد#بر', 'دیگه']"
54,"['جالب', 'نبوو']"
55,"['تحویل', 'گرفت#گیر', 'دید#بین', 'شکست#شکن']"
56,"['قیمت', 'کیفیت', 'محکمه', 'انگشتو', 'جذب', 'میکنه']"
57,"['جنس', 'ارسال', 'کثیف', 'اصلا', 'راضی', 'بود#باش']"
58,"['شدت', 'نامرغوب', '-', 'چسب', 'خراب']"
59,"['حیف', 'پول', '،', 'بیهوده', 'خرج', 'کرد#کن']"
60,"['افتضاح', '.', 'بیکیفیت', '.', 'واقعا', 'براب', 'دیجی', 'متاسفم']"
61,"['اصلا', 'سامسونگ', 'A', '۵۰', 'بالا', 'گلس', 'بلندگو', 'A', '۵۰', 'بلندگو', 'قسمت', 'عکس', 'گلس', 'گوش', 'گذاشت#گذار', 'خود', 'ببینید']"
62,"['کیفیت', 'نمی\u200cارزه', 'قیمت']"
63,"['راضی', '#هست']"
64,"['گوش', 'A', '۵۰', 'نمیخوره']"
65,"['اصلا', 'فرستادن', 'اون', 'عکس', 'هستش', 'فرق', 'داره', 'داشت#دار', 'مرجوع', 'میکنم']"
66,"['نظر', 'داشت#دار', 'نازک', 'عنوان', 'ضربه', 'گیر', 'حساب', 'کرد#کن']"
67,"['میلی', 'کوچیکه']"
68,"['شکسته', 'استفاده', 'چطور', 'برگشتش', 'بد', 'انتظار', 'همچین', 'چیزیو', 'دیجی', 'کالا', 'داشت#دار']"
69,"['خیلی', 'راضی', '.', '۳۴', 'تخفیف', 'زده', 'مبارزه', '.', 'سر', 'شارژر', 'نمیشه', 'تو']"
70,"['انتظار', 'کارا', 'داشت#دار', 'دیگه', 'واقعا', 'یه', 'تیکه', 'آشغاله', '.', 'اگه', 'گوش', 'اصلا', 'استفاده', 'کرد#کن', '،', 'نصف', 'روز', 'شارژ', 'نگه', 'میداره', '.']"
71,"['خرید#خر', 'آقا', 'خرید#خر', 'شدت', 'نازک', 'بدرد', 'نخوره', 'انگار', 'سلفون', 'کشید#کش', 'گوش', '.', 'نصب', 'سخته', '.', 'انقدر', 'نازک', 'میرسه', 'ال', 'دی', 'محافظ', 'باشه', '.', 'موقع', 'نصب', 'خط', 'خش', 'افتاد#افت', '.']"
72,[]
73,"['خوبه', 'بد']"
74,"['یه', 'پلاستیک', 'فریزی', 'ازینه']"
75,"['کالا', 'ارسال', 'کلا', 'مغایرت', 'من', 'مرجوع', 'ممنون', 'دیجی', 'کالا', 'پرسنلش']"
76,"['درد', 'میخوره', 'لنز', 'محافظ']"
77,"['گلس', 'نازک', 'تصویر', 'فرق', 'برد#بر', 'جعبه', 'برد#بر', 'گلس', 'داخل', 'جعبه']"
78,"['مزخرف', 'برد#بر', 'مغازه', 'برام', 'نصب', 'کنه', 'اصن', 'نتونست', 'انداخت#انداز', '،', 'سایز', 'گوش']"
79,[]
80,[]
81,"['اصلا', 'توصیه', 'نمیکنم']"
82,"['نقاط', 'ضعف', 'گفت#گو', '.', 'لبه', 'کار', 'درست', 'برش', 'نخورده', 'پرز', 'ذرات', 'ریزش', 'موقع', 'نصب', 'کار', 'کرد#کن', 'کار', '.', 'قبلا', 'برد#بر', 'خرید#خر', 'کیفیت']"
83,"['محافظ', 'صفحه', 'قبلا', 'داشت#دار', '،', 'واقعا', 'جنس', 'ضعیف', 'کیفیت']"
84,"['کیفیت', 'نداره']"
85,"['اصلا', 'توصیه', 'نمیکنم']"
86,"['نقاط', 'ضعف', 'گفت#گو', '.', 'لبه', 'کار', 'درست', 'برش', 'نخورده', 'پرز', 'ذرات', 'ریزش', 'موقع', 'نصب', 'کار', 'کرد#کن', 'کار', '.', 'قبلا', 'برد#بر', 'خرید#خر', 'کیفیت']"
87,"['محافظ', 'صفحه', 'قبلا', 'داشت#دار', '،', 'واقعا', 'جنس', 'ضعیف', 'کیفیت']"
88,"['کیفیت', 'نداره']"
89,"['ساخت', 'جنس', 'قلم', 'هستش', '،', 'USB-C', 'شارژ', 'میشه', 'سریع', 'هستش', '.', 'موقع', 'استفاده', 'حتما', 'قلم', 'مایل', 'صفحه', 'گوش', 'استفاده', 'صورت', '۹۰', 'درجه', 'صفحه', 'درست', 'عمل', 'نمیکنه', '.', 'گوش', 'SAMSUNG', 'GALAXY', 'S', '۲۰', 'PLUS', 'هستش', '.']"
90,"['نمونه', 'کار', 'را', 'گیم', 'یه', 'بازی', 'نفر', 'میفروشه', 'نمیتونم', 'بازی', 'دیگر', 'بشم', 'دیجی', 'کالا', 'لطفا', 'رسیدگی', 'بشه']"
91,"['بزرگ', 'جالب', 'دکمه', 'وسط', '،', 'کلا', 'کلاس', 'بصورت', 'پیشفرض', 'تبلت\u200cهای', '۱۲', 'اینچ', 'صفحه', 'ساده', 'تولید', 'ربط', 'مدل', 'تبلت', 'سامسونگ', 'نداره', '.', 'دوتا', 'خرید#خر', 'بلافاصله', 'تست', 'مرجوع', '،', 'دیجی', 'کالا', 'فوت', 'وقت', 'انجام', 'داد#ده', 'هزینه', 'مرجوع', '.']"
92,[]
93,"['خرید#خر', 'راضیم']"
94,"['مشکل', 'مرجوع']"
95,"['بد', 'گیفت', 'کارت']"
96,"['کش', 'آهنربا', 'قفل', 'فانتزی', 'استفاده', 'زیبا', 'کارآمد']"
97,"['اصلا', 'کیفیت', 'دوخت', 'نداره', '،', 'کرد#کن', 'مرجوع']"
98,"['سلام', '.', 'رویه', 'بدی', 'فروشنده', 'دیجی', 'کالا', 'شکل', 'کالا', 'کیفیت', 'سایت', 'نمایش', 'گذاشت#گذار', '،', 'فرستاد#فرست', 'کالا', 'کیفیت', '#هست', '.', 'رویه', 'اعتماد', 'خریدار', '.', '\u200c']"
99,"['p', '۵۸۵', 'کوچیک', '.', 'مرجوع', '.']"
100,"['اپ', 'گوگل', 'پل', 'عنوان', 'نمیشه', 'اژ', 'گیفت', 'کارت', 'استفاده', '.']"
101,"['تخریم', 'فشار', 'بازی', 'فشار', 'گیفت', 'کارت', 'فشار', 'چی', 'بگم', 'داره', 'فشار', 'میازه', 'خدا', 'کنه', 'یه', 'اپ', 'بیات', 'قیمت', 'اصل', 'داد#ده', 'سود', 'عمده', 'واسه', 'برداره', '۱۰۰', 'بخره', '۲۰۰', 'فروشه']"
102,"['خدا', 'کار', 'اندازه', '۱۵', 'دلار', 'اگه', 'حساب', 'کرد#کن', 'وقت', 'قیمت', 'دیجی', 'زده', 'نمیشه', '!!', 'قیمت', '۱۵', 'دلاره', '!', 'دیجی', 'گناه', 'نداره', 'بلاخره', 'خرید', 'ارائه', 'خدمات', 'هزینه', 'داره', 'براشون', 'قرار', 'اندازه', '۱۵', 'دلار', 'باشه', 'طبیعیه', '!', 'مرسی', 'هستی', 'دیجی', 'جون']"
103,"['داره', 'گیفت', 'کارد', 'استفاده', 'امریکاس', 'کاربر', 'ایرونی', 'قالب', 'میکنه', '.', 'چطور', 'اجازه', 'فعالیت', 'همچین', 'شرکت', 'سودجویی', 'میدید', 'دیجی', '؟']"
104,"['یه', 'اکانته', '۱۵', 'دلار', 'شارژ', 'داره', '.', '.', 'گیفت', 'کارت', 'اکانت', 'خودتون', 'میتونید', 'گوگل', 'پل', 'بشید', 'یه', 'اکانت', 'دیگه', '!']"
105,"['کد', 'کار', 'کرد#کن', '،', 'گوگل', 'تماس', 'گرفت#گیر', 'گفت#گو', 'فروشنده', 'پیگیری']"
106,"['محصول', 'خرید#خر', 'فیک', 'واسم', 'فرستادن', 'کار', 'نمیکنه', 'اصلا', '.', 'پول', 'ریخت#ریز', 'انگار']"
107,"['هفته', 'خرید#خر', 'راضی', '#هست', 'تبلت', 'توشیبا', 'گرفت#گیر', 'حرفه\u200cای']"
108,"['جادار', '.', '۴محفظه', '.', 'تبلت', '،', 'اینچ', 'نمیشه', '.']"
109,"['گیفت', 'کارت', 'حضور', 'خرید', 'صورت', 'تقلب', 'شرکت', 'قبول', 'نمیکند', 'کرد#کن', 'نمیفهمید', 'تقلب', '#هست', 'دیجی', 'کالا', 'خرید#خر', 'بلا', 'سر', 'اومد']"
110,['عاااالی']
111,"['هستش', 'تازه', 'یه', 'هفته', '#هست', 'داشت#دار', 'از', 'استفاده', 'میکنم']"
112,"['راضی', '#هست', '.']"
113,['خرید#خر']
114,"['قیمت', 'کیفیت']"
115,"['کیف', 'خوبیه', 'یکم', 'سنگینه']"
116,"['آشغال', 'عکسام', 'پاک', 'مرجوع']"
117,"['قشنگ', 'اندازه', 'صفحه']"
118,"['تاحالا', 'دوبار', 'ازتون', 'گلس', 'گرفت#گیر', '،', 'گلس', 'داخل', 'جعبه', 'مدل', 'مغایرت', 'اندازه', '.', 'خواهش', 'دقت', 'انجام', 'بدین', '،', 'انتظار', 'عوض', 'ساعت', 'تاریخ', 'تحویل', '،', 'آخر', 'اشتباه', '.', 'عکس', 'فرستاد#فرست', '.']"
119,"['پایین', 'دکمه', 'هوم']"
120,"['خوبه', 'راحت', 'نسب', 'میشه', 'چی', 'داره']"
121,"['کار', 'فیک', 'تقلب', 'داد#ده']"
122,"['اثرات', 'داره', 'کیفیت', 'راضی', 'کنندس']"
123,"['خراب', 'هفته']"
124,"['خرید', 'کالا', 'توصیه', 'میکنم']"
125,"['کیفیت', 'پایین', 'اومدم', 'از', 'عکس', 'گرفت#گیر', 'بخاطر', 'سایز', 'شکست', 'وترک', 'برداشت']"
126,"['ایرانه', 'حواستون', 'باشه', 'موقع', 'خرید']"
127,"['قلم', 'خوبیه', 'منتها', 'فروشنده', 'کالا', 'دست', 'استفاده', 'ارسال', '!']"
128,"['کد', 'بابت', 'گیفت', 'کارت', 'تحویل', 'ایراد', 'داره']"
129,"['پن', 'ارجینال', 'داشت#دار', '۶', 'ماه', 'دیگه', 'کار', 'کرد#کن', 'خرید#خر', 'این', '۲', 'ماه', 'کار', 'افتاد#افت']"
130,"['قلم', 'یکماه', '#هست', 'خرید#خر', 'ماه', 'ناگهانی', 'کارافتاد', 'دیگه', 'عمل', 'کرد#کن', 'باتریش', 'تعویض', 'عمل', 'کرد#کن', 'امیدوار', 'دیجی', 'کالا', 'کالا', 'کیفیت\u200cتری', 'موجود', 'کنه', 'اگه', 'میخوایید', 'پولتون', 'ریخت#ریز', 'قلم', 'پیشنهاد', 'میدم']"
131,"['کاربرد', 'نظر', 'قلم', 'ماکروسافت', 'کمتر', 'نداره']"
132,"['بازار', 'نیومده']"
133,"['کیف', 'تبلت', 's۷', '-', 'دل', 'نمیشینه', '.', '.', '!!!!']"
134,"['تشکر', 'مدیریت', 'کارمند', 'شرکت', 'خرید', 'قبل', 'دی', 'جی', 'کالا', 'عدد', 'آویز', 'پایه', 'خرید#خر', 'کیفیت', 'نامناسب', 'خواهی_نشده_بود', 'خواهی_را', 'کالا', 'فروخته', 'اعمال', 'نمود#نما', 'ممنون', 'میشوم']"
135,"['قیمت', 'جنس', 'مرغوب', 'نداره', 'نهایتا', 'کالارو', '۵۰', 'تومن', 'خرید']"
136,"['کیفتش', 'خوبه', 'ایراد', 'بزرگ', 'کلا', 'کاربرد', 'سوال', 'میبره', 'اینه', 'اصلا', 'تبلت', 'تو', 'نمیگیره', 'سختی', 'قرار', 'میگیره', 'ممکنه', 'بیاد', '،', 'اصلا', 'پیشنهاد', 'نمیشه', '،', 'مرجوع', 'میکنم']"
137,"['تشکر', 'ممنون']"
138,"['بابت', 'ضمانت', 'کالا', 'موضوع', 'گفت#گو']"
139,"['پشیمون', 'خرید', 'میشید']"
140,"['اصلا', 'خرید#خر', 'گول', 'قیمت', 'خورد#خور']"
141,"['ایراد', 'دارن', 'اطلاعات', 'داخل', 'کپی', 'میشن', 'نمیشه', 'خوند']"
142,['خوبه']
143,"['فروشنده', 'بخاطر', 'سود', 'اکانتو', 'چندین', 'نفر', 'میفروشن', 'حق', 'نگزریم', 'مصرف', 'ارزان', 'میشه', 'داخل', 'قسمت', 'توضیحات', 'مردم', 'بشه', 'پولشون', 'سوخت', 'نشه', 'کد', 'استفاده', 'کردی', 'تازه', 'متوجه', 'بشی']"
144,"['اگه', 'حساس', '#هست', 'استفاده', 'قلم', 'مشابه', 'اصله', 'فشار', 'فابریک', 'صفحه', 'تاج', 'گوش', 'عمل', 'کنه', 'حالت', 'کار', 'میکنه', 'میخوام', 'مرجوع', 'جواب', 'ایمیلمو', 'نمیدن', 'اعلام', 'میکنند', 'رسید#رس', '.']"
145,"['دکمه', 'بغل', 'پاور', 'ولوو', 'افتضاح']"
146,"['محکم', 'وخوب', '.']"
147,"['ارزش', 'خرید', 'داره']"
148,"['کالا', 'ارسال', '.', 'اصلا', 'شبیه', 'کالا', 'سایت', 'گذاشتن', '.', 'جنس', 'العاده', 'ضعیفه', '.', 'مرجوع', '.']"
149,"['عکس', '،', 'چرم', 'دوخت', 'کج', '#هست', 'دوربین', 'دوخت', 'نداره', 'لایه', '،', 'دفر', 'مه', '#هست', 'تبلت', 'داخل', 'میگذارید', 'درست', 'نمیشه', '،', 'شدید', 'پلاستیک', 'داره', 'شدت', 'دستتون', 'بو', 'میگیره', 'به', 'دست', 'بزنین', 'اصلا', 'نمیشه', 'کار', 'با', '،', 'خلاصه', 'اصلا', 'خرید#خر', 'شباهت', 'تصاویر', 'نداره', 'من', 'مرجوع', 'میکنم', 'الان']"
150,"['امروز', 'دستم', 'اصلا', 'مشابه', 'عکس', '،', 'فوق\u200cالعاده', 'کیفیت', 'کثیف', '.', 'لبه', 'کیف', 'انگار', 'کاتر', 'بریده', 'خرید', 'دیجی', 'کالا', 'عنوان', 'نظارت', 'ب', 'فروشندگانش', 'نداره', 'تازه', 'فردا', 'خریدمم', 'قیمت', '۱۵۰', '۱۱۸', '،', 'دوست', 'داشت#دار', 'پولتون', 'ریخت#ریز', 'خرید#خر']"
151,"['تبلت', 'کوچک', 'نهایت', 'مرجوع']"
152,"['خوبه', 'کیفیت', 'صفحه', 'نمیکنه', 'واسه', 'قلم', 'روون', 'نیس']"
153,"['قیمت', 'اصلا', 'توصیه', 'نمیکنم', '،', 'قسمت', 'بالا', 'محصول', 'تبلت', 'اونجا', 'میشه', 'اصلا', 'زیپ', 'نداره', '#هست', '!', 'عکس', 'توضیحات', 'نوشت#نویس', 'خربدار', 'خرید', 'بدونه', 'چی', 'داره', 'میخره', 'منجر', 'مرجوع', 'نشه', '…']"
154,"['توصیه', 'نمیکنم', '.', 'کلا', 'هفته', 'کار', 'بعد', 'خراب', '.']"
155,"['خانم', 'کادو', 'تولد', 'خرید#خر', 'دستم', 'جعبه', 'ایپد', 'له', 'دیگه', 'زمان', 'داشت#دار', 'خاطر', 'تولد', 'مجبورا', 'بیخیال', 'برک', 'شد#شو', 'اصولا', 'دیجی', 'کالا', 'اینو', 'بفهمه', 'ایجوری', 'بفرسته', 'اعتبار', 'خودشو', 'خراب', 'میکنه']"
156,"['آیپد', 'عالیه', 'اکتیو', 'خرید#خر', '۳۰۰', 'هزار', 'تومان', 'ارزان']"
157,"['تبلت', 'سومین', 'دیجیکالا', 'خرید#خر', '،', 'سومین', 'مشکل', 'معیوب', '،', 'هرباره', 'صفحه', 'نمایش', 'خط', 'خوردگی', 'داره', 'خط', 'سیاه', 'راست', 'داره', '.', 'نمیدونم', 'بقیه', 'اینجوی', 'بود#باش', 'متوجه', 'نشدن', '.', 'خسته', 'شد#شو', 'انقدر', 'مرجوع', '.']"
158,"['خوبه', 'راضیم']"
159,"['مراقب', 'بود#باش', '،', 'کالا', 'اسم', 'iPad', 'Pro', '۱۱', 'inch', '۲۰۲۱', 'WiFi', 'ظرفیت', '۲۵۶', 'گیگابایت', 'خریدار', 'الان', 'بسته', 'دستم', 'رسیده', 'میبینم', 'آیپد', 'پرو', '۲۰۲۰', 'فرستاد#فرست', '.', 'دقت', 'iPad', 'Pro', '۱۱', 'inch', '۲۰۲۱', 'نسل', '(', '۳rd', 'Generation', ')', '#هست', 'مدل', '۲۰۲۰', 'نسل', 'هستش', '.', 'مراقب', 'بود#باش', '۲۰۲۰', 'قیمت', '۲۰۲۱', 'بهتون', 'فروخت#فروش', '.']"
160,"['استفاده', 'تلفن', 'همراه', 'جزو', 'گزینه', 'مقرون', 'صرفه', '#هست', 'کیفیت', 'خوبه', 'گارانتی', 'معتبر', 'داره']"
161,"['اصلا', 'کار', 'نمیکنه', 'اکتیو', 'تلاش', 'گرفتن', 'اصلا', 'خرید#خر', 'مول', 'گوش', 'خرید#خر', 'اپل', 'ایدی', 'زد#زن', 'ضد', 'خورد#خور', 'میشید']"
162,"['سلام', '.', 'محصولو', 'افق', 'دیجیتال', 'سفارش', 'داد#ده', 'محصول', 'دریافت', 'کلا', 'یه', 'دیگه', '.', 'یه', 'کاور', 'کیفیت', 'چینی', 'قیمت', 'محصولات', 'کاورهای', 'آیپدش', '۲۰۰', '-', '۳۰۰', 'تومنه', '.', 'واقعا', '.']"
163,"['بزرگ', 'تبلت', '#هست']"
164,"['سایز', '۸', 'اینچ', 'کیفیت', 'ساخت', 'بدی', 'بو', 'تند', 'پلاستیک', 'داد#ده']"
165,"['حتما', 'خریدار', 'کرد#کن']"
166,"['شک', 'قطعه', 'فیک', '#هست', 'زمان', 'کپی', 'اجرا', 'مدیا', '۱۰', 'دقیقه', 'خودبخود', 'eject', 'میشه', '،', 'مشکل', 'sd\u200cهای', 'فیک', '#هست', 'کار', 'باهاشون', 'تقریبا', 'میکنه']"
167,"['واقعا', 'ارزش', 'خرید', 'نداره', 'قلم', 'داره', 'اون', 'بلنده', 'ک', 'ته', 'فرچه', 'داره', 'بدرد', 'میخوره', 'عدد', 'پارچه', 'تمیز', 'عینک', 'داره', 'ک', 'کلا', 'باخرید', 'قلم', 'کارا', 'پک', 'میتونید', 'داشت#دار']"
168,['گرونه']
169,['قیمت']
170,"['گلس', 'اندازه', 'تی', '۵۰۵', 'قرار', 'دکمه', 'آف', 'دکمه', 'ولو', 'کیف', 'برجسته', 'فشار', 'بدهی', 'قیمت', 'زیاده']"
171,"['جنس', 'اصل', 'کیفیت']"
172,"['تشکر', 'زحمات', 'عزیز', 'ممنون', 'بد', 'رد', 'خورد#خور', 'مسافرت', 'بود#باش', 'بجا']"
173,"['عکساش', 'فرق', 'اصل', 'مرجوع', 'دیجی', 'کالا', 'گم', 'دیگه', 'به', 'پول', 'برنگردوند', 'دیجی', 'کالا', 'واقعا', 'انتظار', 'داشت#دار']"
174,"['کالا', 'ارسال', 'دوبار', 'ارسال', 'مشخصات', 'خرید', 'تطابق', 'داشت#دار', '،', 'وال', 'پیامک', 'عودت', 'پول', 'مبلغ', 'واریز', 'شد#شو']"
175,"['سلام', 'کالا', 'مشکل', 'نداره', 'داد#ده', 'اطلاعات', 'مندرج', 'تطابق', 'محصول', 'نداره', 'رم', 'نوشت#نویس', 'u۳', 'خرید#خر', 'درحالیکه', 'u۱', 'برام', 'ارسال', 'سرعت', 'نوشتن', 'کمتر', 'داره', 'میخواستم', 'u۱بگیرم', 'دیجی', 'کالا', 'قیمت', 'پایین', 'اینو', 'نوشت#نویس', 'u۳', 'انتخاب', 'باقیمت', 'بالا', 'u۱', 'واین', 'واقعا', 'ناراحت']"
